user_id,true_label
1,genuine
2,genuine
3,genuine
4,genuine
5,genuine
6,genuine
7,genuine
8,genuine
9,genuine
10,genuine
11,genuine
12,genuine
13,genuine
14,genuine
15,genuine
16,genuine
17,genuine
18,genuine
19,genuine
20,genuine
21,genuine
22,genuine
23,genuine
24,genuine
25,genuine
26,genuine
27,genuine
28,genuine
29,genuine
30,genuine
31,genuine
32,genuine
33,genuine
34,genuine
35,genuine
36,genuine
37,genuine
38,genuine
39,genuine
40,genuine
41,genuine
42,genuine
43,genuine
44,genuine
45,genuine
46,genuine
47,genuine
48,genuine
49,genuine
50,genuine
51,genuine
52,genuine
53,genuine
54,genuine
55,genuine
56,genuine
57,genuine
58,genuine
59,genuine
60,genuine
61,genuine
62,genuine
63,genuine
64,genuine
65,genuine
66,genuine
67,genuine
68,genuine
69,genuine
70,genuine
71,genuine
72,genuine
73,genuine
74,genuine
75,genuine
76,genuine
77,genuine
78,genuine
79,genuine
80,genuine
81,genuine
82,genuine
83,genuine
84,genuine
85,genuine
86,genuine
87,genuine
88,genuine
89,genuine
90,genuine
91,genuine
92,genuine
93,genuine
94,genuine
95,genuine
96,genuine
97,genuine
98,genuine
99,genuine
100,genuine
101,genuine
102,genuine
103,genuine
104,genuine
105,genuine
106,genuine
107,genuine
108,genuine
109,genuine
110,genuine
111,genuine
112,genuine
113,genuine
114,genuine
115,genuine
116,genuine
117,genuine
118,genuine
119,genuine
120,genuine
121,genuine
122,genuine
123,genuine
124,genuine
125,genuine
126,genuine
127,genuine
128,genuine
129,genuine
130,genuine
131,genuine
132,genuine
133,genuine
134,genuine
135,genuine
136,genuine
137,genuine
138,genuine
139,genuine
140,genuine
141,genuine
142,genuine
143,genuine
144,genuine
145,genuine
146,genuine
147,genuine
148,genuine
149,genuine
150,genuine
151,genuine
152,genuine
153,genuine
154,genuine
155,genuine
156,genuine
157,genuine
158,genuine
159,genuine
160,genuine
161,genuine
162,genuine
163,genuine
164,genuine
165,genuine
166,genuine
167,genuine
168,genuine
169,genuine
170,genuine
171,genuine
172,genuine
173,genuine
174,genuine
175,genuine
176,genuine
177,genuine
178,genuine
179,genuine
180,genuine
181,genuine
182,genuine
183,genuine
184,genuine
185,genuine
186,genuine
187,genuine
188,genuine
189,genuine
190,genuine
191,genuine
192,genuine
193,genuine
194,genuine
195,genuine
196,genuine
197,genuine
198,genuine
199,genuine
200,genuine
201,genuine
202,genuine
203,genuine
204,genuine
205,genuine
206,genuine
207,genuine
208,genuine
209,genuine
210,genuine
211,genuine
212,genuine
213,genuine
214,genuine
215,genuine
216,genuine
217,genuine
218,genuine
219,genuine
220,genuine
221,genuine
222,genuine
223,genuine
224,genuine
225,genuine
226,genuine
227,genuine
228,genuine
229,genuine
230,genuine
231,genuine
232,genuine
233,genuine
234,genuine
235,genuine
236,genuine
237,genuine
238,genuine
239,genuine
240,genuine
241,genuine
242,genuine
243,genuine
244,genuine
245,genuine
246,genuine
247,genuine
248,genuine
249,genuine
250,genuine
251,genuine
252,genuine
253,genuine
254,genuine
255,genuine
256,genuine
257,genuine
258,genuine
259,genuine
260,genuine
261,genuine
262,genuine
263,genuine
264,genuine
265,genuine
266,genuine
267,genuine
268,genuine
269,genuine
270,genuine
271,genuine
272,genuine
273,genuine
274,genuine
275,genuine
276,genuine
277,genuine
278,genuine
279,genuine
280,genuine
281,genuine
282,genuine
283,genuine
284,genuine
285,genuine
286,genuine
287,genuine
288,genuine
289,genuine
290,genuine
291,genuine
292,genuine
293,genuine
294,genuine
295,genuine
296,genuine
297,genuine
298,genuine
299,genuine
300,genuine
301,genuine
302,genuine
